algor,my_k,my_min_k,my_sim_option_name,my_sim_option_user_based,results
KNNBaseline,14,2,cosine,True,1.469638992572186
KNNBasic,14,2,cosine,True,1.4767528745385483
KNNBasic,7,2,cosine,True,1.5268250381415442
KNNBaseline,7,2,cosine,True,1.528255034794468
KNNBasic,14,2,pearson,True,1.530258100769558
KNNBaseline,14,2,pearson,True,1.5361543519578968
KNNBaseline,7,2,pearson,True,1.5465981721488573
KNNBaseline,14,2,MSD,True,1.5479510938371988
KNNBasic,14,2,MSD,True,1.5498226834559798
KNNBasic,7,2,pearson,True,1.5498597744025566
KNNBaseline,4,2,cosine,True,1.5867329387599158
KNNBaseline,7,2,MSD,True,1.587807480715977
KNNBaseline,4,2,pearson,True,1.5884759727730347
KNNBasic,7,2,MSD,True,1.5915847198798612
KNNBasic,4,2,cosine,True,1.5921075332614303
KNNBasic,4,2,pearson,True,1.5949338432667584
KNNBasic,7,2,cosine,False,1.6174735488836902
KNNBaseline,14,2,cosine,False,1.617826045752412
KNNBasic,14,2,cosine,False,1.6187896001377031
KNNWithZScore,7,2,cosine,False,1.6197228843712808
KNNWithZScore,14,2,cosine,False,1.6222120780907787
KNNWithZScore,7,2,pearson,False,1.623466095267295
KNNWithMeans,7,2,pearson,False,1.6235051131684035
KNNWithMeans,7,2,cosine,False,1.624815199767213
KNNWithMeans,14,2,cosine,False,1.6257180541737228
KNNWithMeans,4,2,pearson,False,1.6261194956954217
KNNBaseline,4,2,pearson,False,1.6264609788554583
KNNBaseline,7,2,cosine,False,1.626486793778691
KNNWithZScore,4,2,pearson,False,1.628134376394327
KNNWithZScore,14,2,pearson,False,1.629162033896209
KNNBasic,4,2,pearson,False,1.6291836946298048
KNNBasic,14,2,MSD,False,1.6293514391805348
KNNWithMeans,4,2,cosine,False,1.629380217945614
KNNBasic,7,2,pearson,False,1.6296521688305223
KNNBasic,4,2,cosine,False,1.629970195862293
KNNBasic,14,2,pearson,False,1.6302971230836267
KNNBaseline,14,2,pearson,False,1.631006404433176
KNNBaseline,7,2,pearson,False,1.6310485457204582
KNNWithMeans,14,2,pearson,False,1.6317535733761204
KNNBaseline,4,2,cosine,False,1.6319125714284095
KNNBaseline,4,2,MSD,True,1.6325813937974818
KNNWithZScore,4,2,cosine,False,1.6339742274288305
KNNWithMeans,14,2,MSD,False,1.6345168919991466
KNNBaseline,7,2,MSD,False,1.634976505186179
KNNWithZScore,7,2,MSD,False,1.6353567963933284
KNNBasic,7,2,MSD,False,1.6358212836088153
KNNBaseline,14,2,MSD,False,1.6370339869524417
KNNWithMeans,7,2,MSD,False,1.638342630227709
KNNWithZScore,14,2,MSD,False,1.642887494514175
KNNBasic,4,2,MSD,False,1.6460422664877352
KNNWithZScore,4,2,MSD,False,1.646344597066013
KNNBasic,4,2,MSD,True,1.6488651813254394
KNNBaseline,4,2,MSD,False,1.6510516935904813
KNNWithMeans,4,2,MSD,False,1.6523501475602096
KNNWithMeans,14,2,MSD,True,1.6714921630571145
KNNWithZScore,14,2,MSD,True,1.679571835640387
KNNWithZScore,14,2,cosine,True,1.690232588849018
KNNWithMeans,7,2,MSD,True,1.691717392110729
KNNWithMeans,14,2,cosine,True,1.6933660761855733
KNNWithZScore,7,2,MSD,True,1.7064347616005935
KNNWithMeans,7,2,cosine,True,1.7168620660110974
KNNWithMeans,4,2,MSD,True,1.7214827129468468
KNNWithZScore,7,2,cosine,True,1.7280890329246863
KNNWithZScore,4,2,MSD,True,1.7352196093487986
KNNWithMeans,4,2,cosine,True,1.7397084184799496
KNNWithMeans,14,2,pearson,True,1.7405676736548972
KNNWithZScore,14,2,pearson,True,1.7432960184425579
KNNWithZScore,4,2,cosine,True,1.7485715048080706
KNNWithZScore,7,2,pearson,True,1.755107153756875
KNNWithMeans,7,2,pearson,True,1.7574225114629285
KNNWithZScore,4,2,pearson,True,1.773618383594106
KNNWithMeans,4,2,pearson,True,1.7908331715333325
