,A,B,C,mean_mse,mean_rmse
0,1,4,1,0.5434115625152701,0.6637196122156584
0,1,4,2,0.5402238914680237,0.6809567359599494
0,1,4,3,0.5588250206794209,0.702578409339371
0,1,3,1,0.5985955539912126,0.7177517973531844
0,1,4,4,0.5850286766453123,0.7235025358408631
0,1,3,2,0.6027433549573812,0.7343479566002835
0,1,3,3,0.6293654035716968,0.7557231689586292
0,1,3,4,0.6612531625940425,0.7757719906691345
0,1,2,1,0.7094426479608378,0.8036560041769215
0,2,4,2,0.7094426479608378,0.8036560041769215
0,2,4,3,0.7095111381282575,0.8080278723525379
0,2,4,1,0.7340073987894421,0.8090279402375296
0,2,4,4,0.720327520685489,0.8159632112316494
0,1,2,2,0.720327520685489,0.8159632112316494
0,1,2,3,0.7527906154361353,0.8338507263780319
0,1,2,4,0.7869377261878725,0.8502702950884943
0,2,3,2,0.8115815475600747,0.8689487110205083
0,2,3,3,0.8107936742363487,0.8701247399045587
0,2,3,4,0.8214111406265684,0.875454624712305
0,2,3,1,0.8421319782933933,0.8799869513167289
0,3,4,4,0.8550638845579336,0.8950187758442708
0,3,4,3,0.8583862083499713,0.8960864852850762
0,3,4,2,0.8751988475892879,0.9026957655359278
0,3,4,1,0.9194487074435597,0.9209952384053897
0,2,2,3,0.9740993770645077,0.9565811228462826
0,2,2,4,0.9790173410561719,0.9566944456070556
0,1,1,2,0.9790173410561719,0.9566944456070556
0,3,3,4,0.9746735887245536,0.9574781510575485
0,3,3,3,0.9822416961393146,0.9619049294530961
0,1,1,1,0.9822416961393147,0.9619049294530962
0,2,2,2,0.9822416961393147,0.9619049294530962
0,1,1,3,0.9997330774742506,0.9620152966501353
0,1,1,4,1.0216778887181128,0.9686698872027844
0,3,3,2,1.005583908085479,0.9728040042622531
0,2,2,1,1.0282519094485894,0.9828422698608178
0,3,3,1,1.0636004516811541,0.9982275018524867
0,3,2,4,1.1517410503529246,1.0395612262852822
0,3,2,3,1.1697967279110069,1.0496604372250857
0,3,2,2,1.2074506816274395,1.0676882493765991
0,2,1,4,1.2488536591575314,1.0759396897544544
0,2,1,3,1.2655160050958556,1.086200819656249
0,3,2,1,1.2905698439305704,1.1035738408478524
0,2,1,2,1.30277735806832,1.1056667856313196
0,2,1,1,1.3956239196596454,1.1470951886988379
0,3,1,4,1.4330040428193171,1.153239124656013
0,3,1,3,1.4770099278438837,1.1733208280190606
0,3,1,2,1.5498065434582156,1.204547970167607
0,3,1,1,1.6856354896096357,1.2579839033380136
